Province_State,Date,Vaccine_Type,FIPS,Country_Region,Lat,Long_,Doses_alloc,Doses_shipped,Doses_admin,Stage_One_Doses,Stage_Two_Doses,Combined_Key
Alabama,2021-01-03,Unassigned,1,US,32.3182,-86.9023,185300,,0,20354,,"Alabama, US"
Alabama,2021-01-04,All,1,US,32.3182,-86.9023,226250,,42810,20354,,"Alabama, US"
Alabama,2021-01-04,Moderna,1,US,32.3182,-86.9023,,,14541,,,"Alabama, US"
Alabama,2021-01-04,Pfizer,1,US,32.3182,-86.9023,40950,,28269,,,"Alabama, US"
Alabama,2021-01-04,Unassigned,1,US,32.3182,-86.9023,185300,,0,20354,,"Alabama, US"
Alabama,2021-01-05,All,1,US,32.3182,-86.9023,226250,,42810,20354,,"Alabama, US"
Alabama,2021-01-05,Moderna,1,US,32.3182,-86.9023,,,14541,,,"Alabama, US"
Alabama,2021-01-05,Pfizer,1,US,32.3182,-86.9023,40950,,28269,,,"Alabama, US"
Alabama,2021-01-05,Unassigned,1,US,32.3182,-86.9023,185300,,0,20354,,"Alabama, US"
Alabama,2021-01-06,All,1,US,32.3182,-86.9023,226250,,42810,20354,,"Alabama, US"
Alabama,2021-01-06,Moderna,1,US,32.3182,-86.9023,,,14541,,,"Alabama, US"
Alabama,2021-01-06,Pfizer,1,US,32.3182,-86.9023,40950,,28269,,,"Alabama, US"
Alabama,2021-01-06,Unassigned,1,US,32.3182,-86.9023,185300,,0,20354,,"Alabama, US"
Alabama,2021-01-07,All,1,US,32.3182,-86.9023,226250,,42810,20354,,"Alabama, US"
Alabama,2021-01-07,Moderna,1,US,32.3182,-86.9023,,,14541,,,"Alabama, US"
Alabama,2021-01-07,Pfizer,1,US,32.3182,-86.9023,40950,,28269,,,"Alabama, US"
Alabama,2021-01-07,Unassigned,1,US,32.3182,-86.9023,185300,,0,20354,,"Alabama, US"
Alabama,2021-01-08,All,1,US,32.3182,-86.9023,226250,,42810,20354,,"Alabama, US"
Alabama,2021-01-08,Moderna,1,US,32.3182,-86.9023,,,14541,,,"Alabama, US"
Alabama,2021-01-08,Pfizer,1,US,32.3182,-86.9023,40950,,28269,,,"Alabama, US"
Alabama,2021-01-08,Unassigned,1,US,32.3182,-86.9023,185300,,0,20354,,"Alabama, US"
Alabama,2021-01-09,All,1,US,32.3182,-86.9023,226250,,42810,20354,,"Alabama, US"
Alabama,2021-01-09,Moderna,1,US,32.3182,-86.9023,,,14541,,,"Alabama, US"
Alabama,2021-01-09,Pfizer,1,US,32.3182,-86.9023,40950,,28269,,,"Alabama, US"
Alabama,2021-01-09,Unassigned,1,US,32.3182,-86.9023,185300,,0,20354,,"Alabama, US"
Alabama,2021-01-10,All,1,US,32.3182,-86.9023,226250,,42810,20354,,"Alabama, US"
Alabama,2021-01-10,Moderna,1,US,32.3182,-86.9023,,,14541,,,"Alabama, US"
Alabama,2021-01-10,Pfizer,1,US,32.3182,-86.9023,40950,,28269,,,"Alabama, US"
Alabama,2021-01-10,Unassigned,1,US,32.3182,-86.9023,185300,,0,20354,,"Alabama, US"
Alabama,2021-01-11,All,1,US,32.3182,-86.9023,271925,,87138,20354,,"Alabama, US"
Alabama,2021-01-11,Moderna,1,US,32.3182,-86.9023,,,35255,,,"Alabama, US"
Alabama,2021-01-11,Pfizer,1,US,32.3182,-86.9023,40950,,51883,,,"Alabama, US"
Alabama,2021-01-11,Unassigned,1,US,32.3182,-86.9023,230975,,0,20354,,"Alabama, US"
Alabama,2021-01-12,All,1,US,32.3182,-86.9023,271925,,87138,20354,,"Alabama, US"
Alabama,2021-01-12,Moderna,1,US,32.3182,-86.9023,,,35255,,,"Alabama, US"
Alabama,2021-01-12,Pfizer,1,US,32.3182,-86.9023,40950,,51883,,,"Alabama, US"
Alabama,2021-01-12,Unassigned,1,US,32.3182,-86.9023,230975,,0,20354,,"Alabama, US"
Alabama,2021-01-13,All,1,US,32.3182,-86.9023,271925,,87138,20354,,"Alabama, US"
Alabama,2021-01-13,Moderna,1,US,32.3182,-86.9023,,,35255,,,"Alabama, US"
Alabama,2021-01-13,Pfizer,1,US,32.3182,-86.9023,40950,,51883,,,"Alabama, US"
Alabama,2021-01-13,Unassigned,1,US,32.3182,-86.9023,230975,,0,20354,,"Alabama, US"
Alabama,2021-01-14,All,1,US,32.3182,-86.9023,271925,,87138,20354,,"Alabama, US"
Alabama,2021-01-14,Moderna,1,US,32.3182,-86.9023,,,35255,,,"Alabama, US"
Alabama,2021-01-14,Pfizer,1,US,32.3182,-86.9023,40950,,51883,,,"Alabama, US"
Alabama,2021-01-14,Unassigned,1,US,32.3182,-86.9023,230975,,0,20354,,"Alabama, US"
Alabama,2021-01-15,All,1,US,32.3182,-86.9023,640150,370575,130394,20354,,"Alabama, US"
Alabama,2021-01-15,Moderna,1,US,32.3182,-86.9023,,,57302,,,"Alabama, US"
Alabama,2021-01-15,Pfizer,1,US,32.3182,-86.9023,40950,,73092,,,"Alabama, US"
Alabama,2021-01-15,Unassigned,1,US,32.3182,-86.9023,599200,370575,0,20354,,"Alabama, US"
Alabama,2021-01-16,All,1,US,32.3182,-86.9023,640150,370575,130394,20354,,"Alabama, US"
Alabama,2021-01-16,Moderna,1,US,32.3182,-86.9023,,,57302,,,"Alabama, US"
Alabama,2021-01-16,Pfizer,1,US,32.3182,-86.9023,40950,,73092,,,"Alabama, US"
Alabama,2021-01-16,Unassigned,1,US,32.3182,-86.9023,599200,370575,0,20354,,"Alabama, US"
Alabama,2021-01-17,All,1,US,32.3182,-86.9023,640150,370575,130394,20354,,"Alabama, US"
Alabama,2021-01-17,Moderna,1,US,32.3182,-86.9023,,,57302,,,"Alabama, US"
Alabama,2021-01-17,Pfizer,1,US,32.3182,-86.9023,40950,,73092,,,"Alabama, US"
Alabama,2021-01-17,Unassigned,1,US,32.3182,-86.9023,599200,370575,0,20354,,"Alabama, US"
Alabama,2021-01-18,All,1,US,32.3182,-86.9023,640150,379875,148685,20354,,"Alabama, US"
Alabama,2021-01-18,Moderna,1,US,32.3182,-86.9023,,,67715,,,"Alabama, US"
Alabama,2021-01-18,Pfizer,1,US,32.3182,-86.9023,40950,,80970,,,"Alabama, US"
Alabama,2021-01-18,Unassigned,1,US,32.3182,-86.9023,599200,379875,0,20354,,"Alabama, US"
Alabama,2021-01-19,All,1,US,32.3182,-86.9023,640150,379875,148685,20354,,"Alabama, US"
Alabama,2021-01-19,Moderna,1,US,32.3182,-86.9023,,,67715,,,"Alabama, US"
Alabama,2021-01-19,Pfizer,1,US,32.3182,-86.9023,40950,,80970,,,"Alabama, US"
Alabama,2021-01-19,Unassigned,1,US,32.3182,-86.9023,599200,379875,0,20354,,"Alabama, US"
Alabama,2021-01-20,All,1,US,32.3182,-86.9023,640150,446150,158116,20354,,"Alabama, US"
Alabama,2021-01-20,Moderna,1,US,32.3182,-86.9023,,,72870,,,"Alabama, US"
Alabama,2021-01-20,Pfizer,1,US,32.3182,-86.9023,40950,,85245,,,"Alabama, US"
Alabama,2021-01-20,Unassigned,1,US,32.3182,-86.9023,599200,446150,1,20354,,"Alabama, US"
Alabama,2021-01-21,All,1,US,32.3182,-86.9023,640150,446150,184618,20354,,"Alabama, US"
Alabama,2021-01-21,Moderna,1,US,32.3182,-86.9023,,,92002,,,"Alabama, US"
Alabama,2021-01-21,Pfizer,1,US,32.3182,-86.9023,40950,,92616,,,"Alabama, US"
Alabama,2021-01-21,Unassigned,1,US,32.3182,-86.9023,599200,446150,0,20354,,"Alabama, US"
Alabama,2021-01-22,All,1,US,32.3182,-86.9023,640150,446150,202643,20354,,"Alabama, US"
Alabama,2021-01-22,Moderna,1,US,32.3182,-86.9023,,,102899,,,"Alabama, US"
Alabama,2021-01-22,Pfizer,1,US,32.3182,-86.9023,40950,,99744,,,"Alabama, US"
Alabama,2021-01-22,Unassigned,1,US,32.3182,-86.9023,599200,446150,0,20354,,"Alabama, US"
Alabama,2021-01-23,All,1,US,32.3182,-86.9023,640150,502950,249356,20354,,"Alabama, US"
Alabama,2021-01-23,Moderna,1,US,32.3182,-86.9023,,,117531,,,"Alabama, US"
Alabama,2021-01-23,Pfizer,1,US,32.3182,-86.9023,40950,,106356,,,"Alabama, US"
Alabama,2021-01-23,Unassigned,1,US,32.3182,-86.9023,599200,502950,25469,20354,,"Alabama, US"
Alabama,2021-01-24,All,1,US,32.3182,-86.9023,640150,502950,249356,20354,,"Alabama, US"
Alabama,2021-01-24,Moderna,1,US,32.3182,-86.9023,,,117531,,,"Alabama, US"
Alabama,2021-01-24,Pfizer,1,US,32.3182,-86.9023,40950,,106356,,,"Alabama, US"
Alabama,2021-01-24,Unassigned,1,US,32.3182,-86.9023,599200,502950,25469,20354,,"Alabama, US"
Alabama,2021-01-25,All,1,US,32.3182,-86.9023,640150,502950,249356,20354,,"Alabama, US"
Alabama,2021-01-25,Moderna,1,US,32.3182,-86.9023,,,117531,,,"Alabama, US"
Alabama,2021-01-25,Pfizer,1,US,32.3182,-86.9023,40950,,106356,,,"Alabama, US"
Alabama,2021-01-25,Unassigned,1,US,32.3182,-86.9023,599200,502950,25469,20354,,"Alabama, US"
Alabama,2021-01-26,All,1,US,32.3182,-86.9023,640150,521225,287002,20354,,"Alabama, US"
Alabama,2021-01-26,Moderna,1,US,32.3182,-86.9023,,,136552,,,"Alabama, US"
Alabama,2021-01-26,Pfizer,1,US,32.3182,-86.9023,40950,,118739,,,"Alabama, US"
Alabama,2021-01-26,Unassigned,1,US,32.3182,-86.9023,599200,521225,31711,20354,,"Alabama, US"
Alabama,2021-01-27,All,1,US,32.3182,-86.9023,640150,523000,298017,20354,,"Alabama, US"
Alabama,2021-01-27,Moderna,1,US,32.3182,-86.9023,,,142858,,,"Alabama, US"
Alabama,2021-01-27,Pfizer,1,US,32.3182,-86.9023,40950,,123448,,,"Alabama, US"
Alabama,2021-01-27,Unassigned,1,US,32.3182,-86.9023,599200,523000,31711,20354,,"Alabama, US"
Alabama,2021-01-28,All,1,US,32.3182,-86.9023,640150,736700,314241,20354,,"Alabama, US"
Alabama,2021-01-28,Moderna,1,US,32.3182,-86.9023,,,149732,,,"Alabama, US"
Alabama,2021-01-28,Pfizer,1,US,32.3182,-86.9023,40950,,130876,,,"Alabama, US"
Alabama,2021-01-28,Unassigned,1,US,32.3182,-86.9023,599200,736700,33633,20354,,"Alabama, US"
Alabama,2021-01-29,All,1,US,32.3182,-86.9023,640150,764125,339756,20354,,"Alabama, US"
Alabama,2021-01-29,Moderna,1,US,32.3182,-86.9023,,,162741,,,"Alabama, US"
Alabama,2021-01-29,Pfizer,1,US,32.3182,-86.9023,40950,,139528,,,"Alabama, US"
Alabama,2021-01-29,Unassigned,1,US,32.3182,-86.9023,599200,764125,37487,20354,,"Alabama, US"
Alabama,2021-01-30,All,1,US,32.3182,-86.9023,640150,772275,361376,20354,,"Alabama, US"
Alabama,2021-01-30,Moderna,1,US,32.3182,-86.9023,,,175326,,,"Alabama, US"
Alabama,2021-01-30,Pfizer,1,US,32.3182,-86.9023,40950,,148549,,,"Alabama, US"
Alabama,2021-01-30,Unassigned,1,US,32.3182,-86.9023,599200,772275,37501,20354,,"Alabama, US"
Alabama,2021-01-31,All,1,US,32.3182,-86.9023,640150,772275,361376,20354,,"Alabama, US"
Alabama,2021-01-31,Moderna,1,US,32.3182,-86.9023,,,175326,,,"Alabama, US"
Alabama,2021-01-31,Pfizer,1,US,32.3182,-86.9023,40950,,148549,,,"Alabama, US"
Alabama,2021-01-31,Unassigned,1,US,32.3182,-86.9023,599200,772275,37501,20354,,"Alabama, US"
Alabama,2021-02-01,All,1,US,32.3182,-86.9023,640150,772275,361376,20354,,"Alabama, US"
Alabama,2021-02-01,Moderna,1,US,32.3182,-86.9023,,,175326,,,"Alabama, US"
Alabama,2021-02-01,Pfizer,1,US,32.3182,-86.9023,40950,,148549,,,"Alabama, US"
Alabama,2021-02-01,Unassigned,1,US,32.3182,-86.9023,599200,772275,37501,20354,,"Alabama, US"
Alabama,2021-02-02,All,1,US,32.3182,-86.9023,640150,772275,403509,20354,,"Alabama, US"
Alabama,2021-02-02,Moderna,1,US,32.3182,-86.9023,,,195448,,,"Alabama, US"
Alabama,2021-02-02,Pfizer,1,US,32.3182,-86.9023,40950,,164141,,,"Alabama, US"
Alabama,2021-02-02,Unassigned,1,US,32.3182,-86.9023,599200,772275,43920,20354,,"Alabama, US"
Alabama,2021-02-03,All,1,US,32.3182,-86.9023,640150,798125,420235,20354,,"Alabama, US"
